id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098562,Evidence,ev_biochem_004131_9ff11155cb,MENTIONS_TOPIC,Topic,topic_liver_injury,0.8,kb_pdf
edge_0098563,Evidence,ev_biochem_004131_9ff11155cb,SUPPORTS,Condition,cond_diabetes_risk,0.75,kb_pdf
edge_0098564,Evidence,ev_biochem_004131_9ff11155cb,SUPPORTS,Condition,cond_hepatocellular_injury,0.75,kb_pdf
edge_0098565,Evidence,ev_biochem_004131_9ff11155cb,SUPPORTS,Condition,cond_hyperglycemia,0.75,kb_pdf
edge_0098566,Evidence,ev_biochem_004131_9ff11155cb,SUPPORTS,Condition,cond_liver_injury,0.75,kb_pdf
edge_0098567,Evidence,ev_biochem_004131_9ff11155cb,SUPPORTS,Condition,cond_renal_impairment,0.75,kb_pdf
edge_0098568,Evidence,ev_biochem_004132_f33db58c5c,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098569,Evidence,ev_biochem_004132_f33db58c5c,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098570,Evidence,ev_biochem_004132_f33db58c5c,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098571,Evidence,ev_biochem_004132_f33db58c5c,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098572,Evidence,ev_biochem_004132_f33db58c5c,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098573,Evidence,ev_biochem_004133_6bfe8b1bb0,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098574,Evidence,ev_biochem_004133_6bfe8b1bb0,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098575,Evidence,ev_biochem_004134_e685375d41,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098576,Evidence,ev_biochem_004134_e685375d41,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098577,Evidence,ev_biochem_004134_e685375d41,MENTIONS_TEST,Test,test_GLUCOSE,0.95,kb_pdf
edge_0098578,Evidence,ev_biochem_004134_e685375d41,MENTIONS_TOPIC,Topic,topic_diabetes,0.8,kb_pdf
edge_0098579,Evidence,ev_biochem_004134_e685375d41,SUPPORTS,Condition,cond_diabetes_risk,0.75,kb_pdf
edge_0098580,Evidence,ev_biochem_004134_e685375d41,SUPPORTS,Condition,cond_hyperglycemia,0.75,kb_pdf
edge_0098581,Evidence,ev_biochem_004135_e2ba91af32,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098582,Evidence,ev_biochem_004135_e2ba91af32,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098583,Evidence,ev_biochem_004136_cb037cbb3c,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098584,Evidence,ev_biochem_004136_cb037cbb3c,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098585,Evidence,ev_biochem_004137_ba7a295783,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098586,Evidence,ev_biochem_004137_ba7a295783,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098587,Evidence,ev_biochem_004137_ba7a295783,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098588,Evidence,ev_biochem_004137_ba7a295783,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098589,Evidence,ev_biochem_004137_ba7a295783,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098590,Evidence,ev_biochem_004138_a2e46affe9,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098591,Evidence,ev_biochem_004138_a2e46affe9,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098592,Evidence,ev_biochem_004139_eb91a390b4,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098593,Evidence,ev_biochem_004139_eb91a390b4,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098594,Evidence,ev_biochem_004140_e0a72e660f,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098595,Evidence,ev_biochem_004140_e0a72e660f,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098596,Evidence,ev_biochem_004141_40528764ae,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098597,Evidence,ev_biochem_004141_40528764ae,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098598,Evidence,ev_biochem_004142_bcd65dbb17,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098599,Evidence,ev_biochem_004142_bcd65dbb17,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098600,Evidence,ev_biochem_004143_1aab8b527d,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098601,Evidence,ev_biochem_004143_1aab8b527d,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098602,Evidence,ev_biochem_004144_a88d60619e,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098603,Evidence,ev_biochem_004144_a88d60619e,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098604,Evidence,ev_biochem_004145_49be696557,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098605,Evidence,ev_biochem_004145_49be696557,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098606,Evidence,ev_biochem_004146_3e51d98dc9,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098607,Evidence,ev_biochem_004146_3e51d98dc9,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098608,Evidence,ev_biochem_004147_aa46f40ae1,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098609,Evidence,ev_biochem_004147_aa46f40ae1,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098610,Evidence,ev_biochem_004148_5ec4440771,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098611,Evidence,ev_biochem_004148_5ec4440771,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098612,Evidence,ev_biochem_004149_2dcb152449,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098613,Evidence,ev_biochem_004149_2dcb152449,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098614,Evidence,ev_biochem_004150_7fbbf98fe3,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098615,Evidence,ev_biochem_004150_7fbbf98fe3,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098616,Evidence,ev_biochem_004151_b151b6757e,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
